uid,domainID,siteID,namedLocation,collectDate,titrationDate,parentSampleID,domainSampleID,domainSampleCode,titrationLocation,sampleType,initialSamplepH,initialSampleTemp,normality,sampleVolume,methodType,remarks,measuredBy,alkMeqPerL,alkMgPerL,ancMeqPerL,ancMgPerL,dataQF
"61b67856-d012-4c49-821c-1569fd2ca13b","D06","KING","KING.AOS.S2","2016-05-02T13:55Z","2016-05-02T19:10Z","KING.SS.20160502","KING.SS.20160502.ALK",,"support facility","ALK",8.04,22.1,"1.6",50.0,"IPT","collected 7 days following flooding event| baseflow of 4 cfs and peak flow reached about 6800 cfs form usgs gauging station data","bdowner@neoninc.org",6.650,333.000,,,
"302eaaed-7612-4d51-9027-f746fb9a5a95","D06","KING","KING.AOS.S2","2016-05-02T13:55Z","2016-05-02T19:25Z","KING.SS.20160502","KING.SS.20160502.ANC",,"support facility","ANC",8.08,22.0,"1.6",50.0,"IPT","collected 7 days following flooding event| baseflow of 4 cfs and peak flow reached about 6800 cfs form usgs gauging station data","bdowner@neoninc.org",,,5.110,256.000,
"58c12a0e-a56f-46af-b8d6-1ef16dc3b294","D06","KING","KING.AOS.S2","2016-05-10T14:53Z","2016-05-10T20:30Z","KING.SS.20160510","KING.SS.20160510.ANC",,"support facility","ANC",8.04,23.0,"1.6",50.0,"IPT",,"bdowner@neoninc.org",,,4.910,246.000,
"ad99963b-5a24-447b-a5f7-c2c0e1f3e762","D06","KING","KING.AOS.S2","2016-05-10T14:53Z","2016-05-10T20:15Z","KING.SS.20160510","KING.SS.20160510.ALK",,"support facility","ALK",8.08,22.7,"1.6",50.0,"IPT",,"bdowner@neoninc.org",5.030,252.000,,,
"e29795f4-4d3e-4029-a816-669eeb85fda4","D06","KING","KING.AOS.S2","2016-05-17T14:52Z","2016-05-17T17:30Z","KING.SS.20160517","KING.SS.20160517.ALK",,"support facility","ALK",8.06,20.1,"0.16",50.0,"IPT","pH 4, 7, and 10 values checked by ZL but not recorded. Values within acceptable range.","zlafaver@field-ops.org",0.560,27.800,,,
"f5daa529-7e19-475c-8f9e-9a88de293f03","D06","KING","KING.AOS.S2","2016-05-17T14:52Z","2016-05-17T18:45Z","KING.SS.20160517","KING.SS.20160517.ANC",,"support facility","ANC",8.07,22.1,"0.16",50.0,"IPT","pH at 4, 7, and 10 checked by ZL but not recorded. Values within range.","zlafaver@field-ops.org",,,0.580,29.000,
"047d7777-421d-40a6-9d0f-15e7accc71e3","D06","KING","KING.AOS.S2","2016-05-24T15:16Z","2016-05-24T19:20Z","KING.SS.20160524","KING.SS.20160524.ANC",,"support facility","ANC",8.06,22.8,"1.6",50.0,"IPT",,"bdowner@neoninc.org",,,5.860,293.000,
"5a0e9120-cbb2-456a-a2e8-33f5eb3454c3","D06","KING","KING.AOS.S2","2016-05-24T15:16Z","2016-05-24T20:23Z","KING.SS.20160524","KING.SS.20160524.ALK",,"support facility","ALK",8.11,22.7,"1.6",50.0,"IPT",,"bdowner@neoninc.org",6.040,302.000,,,
"e8b14cb5-fe5e-4910-9e82-5019dc019897","D06","KING","KING.AOS.S2","2016-05-31T15:22Z","2016-05-31T19:15Z","KING.SS.20160531","KING.SS.20160531.ANC",,"support facility","ANC",8.11,22.3,"1.6",50.0,"IPT",,"bdowner@neoninc.org",,,6.120,306.000,
"e6fd39f3-e477-4a75-bb85-8d254055bdc8","D06","KING","KING.AOS.S2","2016-05-31T15:22Z","2016-05-31T19:00Z","KING.SS.20160531","KING.SS.20160531.ALK",,"support facility","ALK",8.12,21.9,"1.6",50.0,"IPT",,"bdowner@neoninc.org",5.780,289.000,,,
