uid,domainID,siteID,namedLocation,collectDate,titrationDate,parentSampleID,domainSampleID,domainSampleCode,titrationLocation,sampleType,initialSamplepH,initialSampleTemp,normality,sampleVolume,methodType,remarks,measuredBy,alkMeqPerL,alkMgPerL,ancMeqPerL,ancMgPerL,dataQF
"c9ff1537-51fc-4bca-8ac1-590eb91375c1","D11","PRIN","PRIN.AOS.S2","2018-04-03T14:55Z","2018-04-03T19:56Z","PRIN.SS.20180403","PRIN.SS.20180403.ALK",,"support facility","ALK",8.14,15.3,"1.6",100.0,"IPT",,"kjones03@battelleecology.org",5.520,276.000,,,
"e72a11b8-61b7-4787-92a3-c53a05c481bb","D11","PRIN","PRIN.AOS.S2","2018-04-03T14:55Z","2018-04-03T19:30Z","PRIN.SS.20180403","PRIN.SS.20180403.ANC",,"support facility","ANC",8.22,18.0,"1.6",100.0,"IPT",,"kjones03@battelleecology.org",,,5.480,274.000,
"653be604-5acf-4a0a-8937-96f770cde7aa","D11","PRIN","PRIN.AOS.S2","2018-04-23T16:03Z","2018-04-23T19:27Z","PRIN.SS.20180423","PRIN.SS.20180423.ANC",,"support facility","ANC",8.03,17.1,"1.6",100.0,"IPT",,"kjones03@battelleecology.org",,,4.430,222.000,
"337159be-6905-4418-b7c9-4f0b76e5c72b","D11","PRIN","PRIN.AOS.S2","2018-04-23T16:03Z","2018-04-23T20:03Z","PRIN.SS.20180423","PRIN.SS.20180423.ALK",,"support facility","ALK",8.03,15.6,"1.6",100.0,"IPT",,"kjones03@battelleecology.org",4.430,222.000,,,
"7bfff113-d514-4461-abba-ae289aa1c85a","D11","PRIN","PRIN.AOS.S2","2018-04-24T15:15Z","2018-04-24T19:33Z","PRIN.SS.20180424","PRIN.SS.20180424.ALK",,"support facility","ALK",8.05,17.8,"1.6",100.0,"IPT",,"Nfenster@battelleecology.org",5.200,260.000,,,
"509f629d-93d2-4208-be22-1a912d8700c7","D11","PRIN","PRIN.AOS.S2","2018-04-24T15:15Z","2018-04-24T18:45Z","PRIN.SS.20180424","PRIN.SS.20180424.ANC",,"support facility","ANC",8.06,15.6,"1.6",100.0,"IPT",,"kjones03@battelleecology.org",,,5.280,264.000,
"4eb39202-3407-4c09-ab95-2cf2e8ff10d6","D11","PRIN","PRIN.AOS.S2","2018-04-26T14:24Z","2018-04-26T16:26Z","PRIN.SS.20180426","PRIN.SS.20180426.ANC",,"support facility","ANC",8.07,16.0,"1.6",100.0,"IPT",,"Nfenster@battelleecology.org",,,4.740,237.000,
"02fd59af-ee73-4591-8ba3-1709e52dedcb","D11","PRIN","PRIN.AOS.S2","2018-04-26T14:24Z","2018-04-26T17:52Z","PRIN.SS.20180426","PRIN.SS.20180426.ALK",,"support facility","ALK",7.34,15.0,"1.6",100.0,"IPT",,"Nfenster@battelleecology.org",4.430,222.000,,,
"d91d87a3-5f62-4264-8ee3-f38bd76534bf","D11","PRIN","PRIN.AOS.S2","2018-04-30T14:52Z","2018-04-30T18:52Z","PRIN.SS.20180430","PRIN.SS.20180430.ANC",,"support facility","ANC",7.88,15.8,"1.6",100.0,"IPT",,"kjones03@battelleecology.org",,,4.740,237.000,
"72f40ada-dd31-4250-9b0c-eb40754c9e3e","D11","PRIN","PRIN.AOS.S2","2018-04-30T14:52Z","2018-04-30T18:25Z","PRIN.SS.20180430","PRIN.SS.20180430.ALK",,"support facility","ALK",8.09,17.1,"1.6",100.0,"IPT",,"kjones03@battelleecology.org",5.060,253.000,,,
