uid,domainID,siteID,namedLocation,collectDate,titrationDate,parentSampleID,domainSampleID,domainSampleCode,titrationLocation,sampleType,initialSamplepH,initialSampleTemp,normality,sampleVolume,methodType,remarks,measuredBy,alkMeqPerL,alkMgPerL,ancMeqPerL,ancMgPerL,dataQF
"a28a152b-c7b6-4b14-9eba-edb8ff71eddc","D11","PRIN","PRIN.AOS.S2","2018-05-01T14:24Z","2018-05-01T16:30Z","PRIN.SS.20180501","PRIN.SS.20180501.ANC",,"support facility","ANC",8.07,15.3,"1.6",100.0,"IPT",,"Nfenster@battelleecology.org",,,5.540,277.000,
"8f5eaaeb-a2f4-458a-8182-aef8ac7d466b","D11","PRIN","PRIN.AOS.S2","2018-05-01T14:24Z","2018-05-01T17:10Z","PRIN.SS.20180501","PRIN.SS.20180501.ALK",,"support facility","ALK",7.94,19.4,"1.6",100.0,"IPT",,"Nfenster@battelleecology.org",4.920,246.000,,,
"edc4dac2-301a-409c-a6b5-8248751e86f5","D11","PRIN","PRIN.AOS.S2","2018-05-03T18:23Z","2018-05-03T20:36Z","PRIN.SS.20180503","PRIN.SS.20180503.ANC",,"support facility","ANC",7.80,18.1,"1.6",100.0,"IPT",,"cburton@battelleecology.org",,,3.870,194.000,
"cffa64f4-e58c-486a-a039-b709c928b6f2","D11","PRIN","PRIN.AOS.S2","2018-05-03T18:23Z","2018-05-03T09:20Z","PRIN.SS.20180503","PRIN.SS.20180503.ALK",,"support facility","ALK",7.95,19.4,"1.6",100.0,"IPT",,"cburton@battelleecology.org",3.850,193.000,,,
"3f0a3ae1-7f8a-494e-a265-d1d6d615f7a0","D11","PRIN","PRIN.AOS.S2","2018-05-07T14:56Z","2018-05-07T20:01Z","PRIN.SS.20180507","PRIN.SS.20180507.ALK.REP2",,"support facility","ALK",8.04,15.0,"1.6",100.0,"IPT",,"kjones03@battelleecology.org",4.740,237.000,,,
"93a6d9cb-d410-45ca-9552-356d00be447f","D11","PRIN","PRIN.AOS.S2","2018-05-07T14:56Z","2018-05-07T19:27Z","PRIN.SS.20180507","PRIN.SS.20180507.ANC.REP2",,"support facility","ANC",8.00,15.7,"1.6",100.0,"IPT",,"kjones03@battelleecology.org",,,5.570,279.000,
"ff5ae72c-6f73-44b7-bd7c-a6e1856ca967","D11","PRIN","PRIN.AOS.S2","2018-05-17T15:41Z","2018-05-17T18:47Z","PRIN.SS.20180517","PRIN.SS.20180517.ANC",,"support facility","ANC",8.08,17.1,"1.6",100.0,"IPT",,"cburton@battelleecology.org",,,5.240,262.000,
"348ede5a-8b33-47d6-8ee1-b73cc41b3ae9","D11","PRIN","PRIN.AOS.S2","2018-05-17T15:41Z","2018-05-17T19:46Z","PRIN.SS.20180517","PRIN.SS.20180517.ALK",,"support facility","ALK",8.08,16.0,"1.6",100.0,"IPT",,"cburton@battelleecology.org",5.020,251.000,,,
"748b5b52-60d2-415e-aad8-b2f1ef669388","D11","PRIN","PRIN.AOS.S2","2018-05-30T16:03Z","2018-05-30T19:09Z","PRIN.SS.20180530","PRIN.SS.20180530.ANC",,"support facility","ANC",7.37,17.4,"1.6",100.0,"IPT",,"Nfenster@battelleecology.org",,,4.350,218.000,
"4be24b44-62ce-45a1-8faf-518d09a494a0","D11","PRIN","PRIN.AOS.S2","2018-05-30T16:03Z","2018-05-30T20:00Z","PRIN.SS.20180530","PRIN.SS.20180530.ALK",,"support facility","ALK",7.85,18.9,"1.6",100.0,"IPT",,"Nfenster@battelleecology.org",4.470,224.000,,,
