uid,domainID,siteID,namedLocation,collectDate,titrationDate,parentSampleID,domainSampleID,domainSampleCode,titrationLocation,sampleType,initialSamplepH,initialSampleTemp,normality,sampleVolume,methodType,remarks,measuredBy,alkMeqPerL,alkMgPerL,ancMeqPerL,ancMgPerL,dataQF
"7c0170c6-17b7-454a-8e81-49746a6d1583","D11","PRIN","PRIN.AOS.S2","2017-05-01T12:04Z","2017-05-01T20:25Z","PRIN.SS.20170501","PRIN.SS.20170501.ALK",,"support facility","ALK",8.22,21.9,"1.6",100.0,"IPT",,"cburton@battelleecology.org",6.120,306.000,,,
"656e9676-d43c-4377-ba1f-ffe58d6fad1f","D11","PRIN","PRIN.AOS.S2","2017-05-01T12:04Z","2017-05-01T20:52Z","PRIN.SS.20170501","PRIN.SS.20170501.ANC",,"support facility","ANC",8.23,23.6,"1.6",100.0,"IPT",,"cburton@battelleecology.org",,,6.210,311.000,
"777ff472-9a95-4b18-837d-b33024b6e844","D11","PRIN","PRIN.AOS.S2","2017-05-09T10:15Z","2017-05-09T19:58Z","PRIN.SS.20170509","PRIN.SS.20170509.ALK",,"support facility","ALK",8.07,22.7,"1.6",100.0,"IPT",,"jbagley@battelleecology.org",5.500,275.000,,,
"9e7ab495-aab8-4038-9c29-1bcb8f14859e","D11","PRIN","PRIN.AOS.S2","2017-05-09T10:15Z","2017-05-09T20:34Z","PRIN.SS.20170509","PRIN.SS.20170509.ANC",,"support facility","ANC",8.19,23.2,"1.6",100.0,"IPT",,"jbagley@battelleecology.org",,,5.400,270.000,
"438f99f2-52f6-4cde-8265-7493c3c39cc2","D11","PRIN","PRIN.AOS.S2","2017-05-10T14:10Z","2017-05-11T16:00Z","PRIN.SS.20170510","PRIN.SS.20170510.ALK",,"support facility","ALK",8.03,20.7,"1.6",100.0,"IPT",,"ghenson@battelleecology.org",5.540,277.000,,,
"d0dcfff9-1956-41ec-86ae-b436b8bc2afa","D11","PRIN","PRIN.AOS.S2","2017-05-10T14:10Z","2017-05-11T15:30Z","PRIN.SS.20170510","PRIN.SS.20170510.ANC",,"support facility","ANC",7.97,19.0,"1.6",100.0,"IPT",,"ghenson@battelleecology.org",,,5.650,283.000,
"358f2b17-31fd-4927-8491-c05a6eb40f5e","D11","PRIN","PRIN.AOS.S2","2017-05-18T09:59Z","2017-05-18T23:28Z","PRIN.SS.20170518","PRIN.SS.20170518.ANC",,"support facility","ANC",7.95,16.7,"1.6",100.0,"IPT",,"cburton@battelleecology.org",,,5.360,268.000,
"daa9021a-3ba5-4903-b3a8-e973ac7baca9","D11","PRIN","PRIN.AOS.S2","2017-05-18T09:59Z","2017-05-18T22:20Z","PRIN.SS.20170518","PRIN.SS.20170518.ALK",,"support facility","ALK",8.04,18.7,"1.6",100.0,"IPT",,"cburton@battelleecology.org",5.400,270.000,,,
"21fde795-b83c-432c-9123-439d0ffd5abe","D11","PRIN","PRIN.AOS.S2","2017-05-18T09:59Z","2017-05-18T21:50Z","PRIN.SS.20170518","PRIN.SS.20170518.ALK.REP2",,"support facility","ALK",7.94,19.7,"1.6",100.0,"IPT","Commissioning","jbagley@battelleecology.org",5.440,272.000,,,
"e1cdcdfb-a78a-422d-b1d5-13c1e2bd99e1","D11","PRIN","PRIN.AOS.S2","2017-05-23T10:36Z","2017-05-23T20:49Z","PRIN.SS.20170523","PRIN.SS.20170523.ALK",,"support facility","ALK",8.06,20.2,"1.6",100.0,"IPT",,"szaunbrecher@battelleecology.org",5.200,260.000,,,
"551dd2e2-b576-42b6-915f-e78677905250","D11","PRIN","PRIN.AOS.S2","2017-05-23T10:36Z","2017-05-23T21:21Z","PRIN.SS.20170523","PRIN.SS.20170523.ANC",,"support facility","ANC",8.02,22.1,"1.6",100.0,"IPT",,"szaunbrecher@battelleecology.org",,,5.300,265.000,
"622dc8bf-3582-424d-9b60-434def417ad6","D11","PRIN","PRIN.AOS.S2","2017-05-25T09:35Z","2017-05-25T20:15Z","PRIN.SS.20170525","PRIN.SS.20170525.ANC",,"support facility","ANC",8.05,16.3,"1.6",100.0,"IPT",,"cburton@battelleecology.org",,,5.440,272.000,
"8ce418a4-9a88-41a9-b737-f938d4d883d7","D11","PRIN","PRIN.AOS.S2","2017-05-25T09:35Z","2017-05-25T19:20Z","PRIN.SS.20170525","PRIN.SS.20170525.ALK",,"support facility","ALK",8.13,19.3,"1.6",100.0,"IPT",,"cburton@battelleecology.org",5.320,266.000,,,
"79757952-b0bf-438b-ba39-0066049343ba","D11","PRIN","PRIN.AOS.S2","2017-05-30T22:54Z","2017-05-30T18:20Z","PRIN.SS.20170530","PRIN.SS.20170530.ANC",,"support facility","ANC",8.02,23.3,"1.6",100.0,"IPT",,"cburton@battelleecology.org",,,5.180,259.000,
"89a14cf2-a796-4dc7-935e-a2b4771a1618","D11","PRIN","PRIN.AOS.S2","2017-05-30T22:54Z","2017-05-30T18:57Z","PRIN.SS.20170530","PRIN.SS.20170530.ALK",,"support facility","ALK",8.12,20.0,"1.6",100.0,"IPT",,"cburton@battelleecology.org",5.120,256.000,,,
